spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000085879,1144,248.076,1,Oc1ccc(cc1O)C2CNCc3sccc23.Br,N/A,QAIGGSDECIJPNW-UHFFFAOYSA-N,
CCMSLIB00000085880,1145,455.06,1,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])COC(=O)C)c3csc(N)n3.[Na+],N/A,AZZMGZXNTDTSME-BWTUWSSMSA-M,
CCMSLIB00000085881,1146,315.234,1,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,N/A,RJKFOVLPORLFTN-LEKSSAKUSA-N,
CCMSLIB00000085882,1147,455.293,1,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC.Cl,N/A,DOQPXTMNIUCOSY-UHFFFAOYSA-N,
CCMSLIB00000085883,1148,288.178,1,CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1.Cl,N/A,ZPMVNZLARAEGHB-UHFFFAOYSA-N,
CCMSLIB00000085884,1149,256.017,1,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,N/A,PYZRQGJRPPTADH-UHFFFAOYSA-N,
CCMSLIB00000085885,1150,371.144,1,OC(=O)c1ccccc1Nc2cccc(OCc3ccc4ccccc4n3)c2,N/A,LMPZHLXYBWGGNT-UHFFFAOYSA-N,
CCMSLIB00000085886,1151,407.192,1,OC(CN1CCN(CC1)c2cccc(Cl)c2)C(c3ccccc3)c4ccccc4.Cl,N/A,KQGJIKWDFWLCHO-UHFFFAOYSA-N,
CCMSLIB00000085887,1152,288.117,1,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3.Cl,N/A,OYCAEWMSOPMASE-XFULWGLBSA-N,
CCMSLIB00000085888,1153,188.082,1,Nc1cc(cnc1O)c2ccncc2,N/A,RNLQIBCLLYYYFJ-UHFFFAOYSA-N,
CCMSLIB00000085889,1154,201.161,1,CC(=O)NCCCCCCNC(=O)C,N/A,BNQSTAOJRULKNX-UHFFFAOYSA-N,
